"","alcohol_by_volume"
"1",13.3910847614481
"2",51.6165602277012
"3",34.5219524130886
"4",20.4537946141427
"5",34.5323392176063
"6",16.1079477612202
"7",15.4201165567011
"8",38.3194383223851
"9",63.3166333368406
"10",50.687858757506
"11",14.226190113848
"12",32.3669010066519
"13",19.2451143278392
"14",17.9696715797683
"15",15.7580726445983
"16",16.7081536992266
"17",67.1731696277967
"18",16.7600709909852
"19",47.2913517376725
"20",15.7120624535117
"21",34.2699552740268
"22",14.3103393349906
"23",16.5533916274753
"24",19.5574078608811
"25",16.061434506684
"26",33.7722569673486
"27",64.6247751163778
"28",51.8614962345163
"29",29.6366520090971
"30",15.6918113257094
"31",53.7866177516215
"32",42.6240411550603
"33",60.0083100738622
"34",43.1324568656681
"35",17.0223623584421
"36",56.658835554241
"37",40.8234618107461
"38",71.3620568727369
"39",14.9886131168546
"40",15.7979091662271
"41",38.3276711313008
"42",61.3137133551902
"43",15.2820321042042
"44",19.5155526629065
"45",44.0714515338974
"46",15.5399677276107
"47",14.5198258608188
"48",18.020533332884
"49",40.4619192168239
"50",38.2294373010035
"51",17.025217907053
"52",37.4114040143367
"53",16.8594557725618
"54",33.8876956980469
"55",14.044918891475
"56",17.4997862902073
"57",18.4505111474302
"58",16.9999413515822
"59",33.0689924764027
"60",13.588697453737
"61",15.2592606409534
"62",68.7768156328227
"63",31.7090153965281
"64",15.8066203128792
"65",36.184360319702
"66",43.0080304408606
"67",19.6137134093611
"68",16.8929858568114
"69",48.8743910632935
"70",54.4460302428741
"71",17.0102882282465
"72",14.9498098308749
"73",16.8538937020255
"74",15.3757435132539
"75",18.1414025306849
"76",55.8051537261517
"77",12.9818283784442
"78",38.4907054393416
"79",15.9077407243051
"80",52.5431503944187
"81",38.6524499609652
"82",15.8160240609106
"83",61.9366913675624
"84",20.9308063013637
"85",14.4191716423161
"86",16.2150764354298
"87",34.6641149221095
"88",44.3257844282136
"89",27.4032827509721
"90",17.7276137871836
"91",48.8397975910698
"92",15.1679438983214
"93",61.0283971905415
"94",18.9173951844789
"95",37.2984241352119
"96",36.0502762886651
"97",20.4995966308448
"98",38.8533032672756
"99",35.0017410569522
"100",16.0059598761362
"101",16.9409830152215
"102",16.1220518915309
"103",51.5325482959704
"104",38.85504356127
"105",53.6316261332411
"106",19.5552013937718
"107",17.4175111483129
"108",36.9704581904293
"109",40.1741720205485
"110",16.5404794801959
"111",13.5422970932871
"112",42.4576447853467
"113",37.7415076015209
"114",42.7364107652788
"115",42.9310638211261
"116",17.7770778705062
"117",14.5854457590687
"118",14.195986417245
"119",17.4255490204349
"120",18.1727413100475
"121",66.3214512230872
"122",17.8871976636103
"123",40.8173492918751
"124",18.7247043593299
"125",14.9184933776975
"126",37.4558939636115
"127",14.9315487277072
"128",16.9451922499034
"129",15.0087603727967
"130",60.1467432923038
"131",31.5940424283413
"132",18.4939035317022
"133",17.4952515865427
"134",19.1009472646253
"135",36.2854134815038
"136",14.818554426804
"137",17.8264068600438
"138",58.9397822714527
"139",14.0818935585886
"140",14.0547733441654
"141",12.3951584996871
"142",62.6553349427365
"143",18.182532037089
"144",14.0206461969343
"145",15.18069215572
"146",60.5738898025613
"147",36.1559136963394
"148",17.0788969728138
"149",76.2087123298551
"150",16.9133730593915
"151",47.8008275200687
"152",48.422871441441
"153",79.3954067780369
"154",34.5597962118852
"155",17.5820589865863
"156",17.4433062690315
"157",35.6808124321209
"158",34.3301287080113
"159",21.2942148182407
"160",12.1954286852995
"161",19.4224035200653
"162",20.6624445929334
"163",16.5734616087059
"164",38.6630119809738
"165",39.1519613055644
"166",36.2024428105284
"167",28.5879190582195
"168",22.0567479760336
"169",15.7356179759004
"170",20.6558867190949
"171",36.5676002228089
"172",53.9167306889883
"173",36.5293284317948
"174",17.0095153288096
"175",31.1270574672281
"176",16.1478259679784
"177",21.1282249402592
"178",31.2578336111433
"179",38.1857405011624
"180",13.8819015797392
"181",16.670576045782
"182",14.8809636532445
"183",13.0840147250084
"184",12.7556770300295
"185",18.9318799522581
"186",40.6246812630805
"187",17.1820390871301
"188",19.4327811754446
"189",36.1347242480196
"190",15.1810590063103
"191",13.9812700841109
"192",15.2781024438554
"193",13.8707604042733
"194",52.7701078438748
"195",48.086539049255
"196",17.0470099347377
"197",19.6902421422299
"198",13.1767548673719
"199",42.2917293121174
"200",37.6168662357031
"201",40.6549083086814
"202",17.6382184844391
"203",14.998812587836
"204",12.842320750468
"205",36.9618103234482
"206",18.4296252304696
"207",14.6531928642849
"208",35.909788142665
"209",43.6978923565258
"210",19.8016071903714
"211",13.9647519461057
"212",13.2102609042851
"213",53.7785321331592
"214",17.8352502969973
"215",40.2616687049336
"216",24.6453722820361
"217",34.0719269657699
"218",16.5317299244015
"219",16.1216396452041
"220",14.3223363011707
"221",16.2240463133467
"222",40.8465518982711
"223",60.2614435019341
"224",15.4165147747249
"225",12.2238178842495
"226",14.9903042129045
"227",13.7271663954879
"228",35.8254431649522
"229",16.1480491438491
"230",51.3870412532702
"231",13.8758367394116
"232",18.0351205674109
"233",16.780364245537
"234",41.5282875516147
"235",36.3887661873178
